,CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend
0,12346.0,325,2,0,0.0,0.0,1,0.0,1,10,1,1,0.5,0.0,0.0,0.0
1,12347.0,2,7,2458,4310.0,615.7142857142857,103,2.016574585635359,1,14,0,0,0.0,615.7142857142857,341.07078946836157,4.4860714285714325
2,12348.0,75,4,2341,1797.24,449.31,22,9.433333333333334,3,19,0,0,0.0,449.31,301.1599183158343,-160.884
3,12350.0,310,1,197,334.4,334.4,17,0.0,2,16,0,0,0.0,334.4,0.0,0.0
4,12352.0,36,8,470,1545.41,193.17625,58,2.9545454545454546,1,14,0,1,0.125,386.3525,164.21629869879948,37.351000000000006
5,12353.0,204,1,20,89.0,89.0,4,0.0,3,17,0,0,0.0,89.0,0.0,0.0
6,12354.0,232,1,530,1079.4,1079.4,58,0.0,3,13,0,0,0.0,1079.4,0.0,0.0
7,12355.0,214,1,240,459.4,459.4,13,0.0,0,13,0,0,0.0,459.4,0.0,0.0
8,12358.0,1,2,248,1168.06,584.03,13,8.277777777777779,1,10,0,0,0.0,584.03,140.2475589805399,198.34000000000003
9,12360.0,52,3,1165,2662.06,887.3533333333334,105,1.15625,1,15,0,0,0.0,887.3533333333334,306.0543908087798,-19.899999999999977
10,12361.0,287,1,91,189.9,189.9,10,0.0,4,13,0,0,0.0,189.9,0.0,0.0
11,12362.0,3,13,2212,5154.58,396.50615384615384,201,1.0695970695970696,3,15,0,3,0.23076923076923078,644.3225,429.8931401356787,52.93119047619048
12,12363.0,109,2,408,552.0,276.0,23,6.045454545454546,0,13,0,0,0.0,276.0,32.668333290818495,-46.20000000000002
13,12364.0,7,4,1506,1313.1,328.275,70,1.25,4,15,0,0,0.0,328.275,223.8464428278159,-72.154
14,12365.0,291,1,173,320.69,320.69,21,0.0,0,13,0,0,0.0,320.69,0.0,0.0
15,12367.0,4,1,173,168.9,168.9,11,0.0,0,16,0,0,0.0,168.9,0.0,0.0
16,12370.0,51,4,2352,3541.94,885.485,143,1.8727272727272728,1,12,0,0,0.0,1180.6466666666668,600.3472698641456,-562.495
17,12371.0,44,2,591,1887.96,943.98,63,0.24193548387096775,1,10,0,0,0.0,1887.96,0.0,0.0
18,12372.0,71,3,794,1298.04,432.68,34,4.411764705882353,2,12,0,0,0.0,432.68,72.3466847892839,-8.050000000000011
19,12373.0,311,1,197,364.6,364.6,14,0.0,1,13,0,0,0.0,364.6,0.0,0.0
20,12374.0,25,1,342,742.9300000000001,742.9300000000001,33,0.0,0,15,0,0,0.0,742.9300000000001,0.0,0.0
21,12375.0,2,3,177,455.42,151.80666666666667,14,5.647058823529412,4,14,0,1,0.3333333333333333,151.80666666666667,133.2787760047838,-116.19000000000001
22,12379.0,81,3,406,850.29,283.43,39,2.225,0,10,0,1,0.3333333333333333,283.43,249.43605733734645,-33.71999999999997
23,12380.0,21,5,1126,2720.56,544.112,77,1.5769230769230769,4,11,0,1,0.2,680.1400000000001,253.32172455858057,111.912
24,12381.0,4,6,783,1803.96,300.66,70,1.2777777777777777,4,9,0,1,0.16666666666666666,450.99,544.7481881260981,-283.25800000000004
25,12383.0,184,6,1529,1839.31,306.5516666666667,84,1.696969696969697,2,14,0,1,0.16666666666666666,367.86199999999997,250.667022302496,-150.029
26,12384.0,28,3,121,566.16,188.72,26,3.206896551724138,2,11,0,1,0.3333333333333333,188.72,179.98606807194827,-0.05500000000000682
27,12386.0,337,2,354,401.9,200.95,10,3.2222222222222223,2,9,0,0,0.0,200.95,81.95367593952083,-115.89999999999998
28,12388.0,15,6,1462,2780.66,463.4433333333333,57,3.1414141414141414,3,11,0,0,0.0,463.4433333333333,327.1524836321233,59.20857142857143
29,12390.0,79,1,353,549.84,549.84,32,0.0,2,9,0,0,0.0,549.84,0.0,0.0
30,12391.0,21,1,293,439.66,439.66,92,0.0,4,12,0,0,0.0,439.66,0.0,0.0
31,12393.0,72,4,816,1582.6000000000001,395.65000000000003,47,4.126984126984127,2,9,0,0,0.0,527.5333333333333,109.0752186948682,-58.99999999999999
32,12394.0,63,2,819,1272.48,636.24,26,5.923076923076923,4,14,0,0,0.0,636.24,360.8507325751189,510.32
33,12395.0,15,15,2113,2998.28,199.88533333333334,91,2.2531645569620253,4,16,0,3,0.2,333.14222222222224,248.57154914519973,19.07516666666667
34,12397.0,35,2,1263,2409.9,1204.95,110,0.8,2,14,0,0,0.0,1204.9499999999998,13.944145724998656,-19.720000000000027
35,12399.0,119,4,1178,1108.65,277.1625,47,2.4482758620689653,1,10,0,0,0.0,277.1625,150.35819196727084,-58.611000000000004
36,12401.0,303,1,11,84.3,84.3,5,0.0,2,13,0,0,0.0,84.3,0.0,0.0
37,12402.0,323,1,94,225.6,225.6,11,0.0,3,13,0,0,0.0,225.6,0.0,0.0
38,12403.0,49,2,95,409.7,204.85,5,0.0,4,10,0,1,0.5,409.7,0.0,0.0
39,12406.0,22,3,1809,3280.75,1093.5833333333333,92,1.5046728971962617,3,19,0,1,0.3333333333333333,1093.5833333333333,1067.0982022913042,86.39999999999998
40,12407.0,49,5,1416,1708.1200000000001,341.624,57,2.8289473684210527,2,9,0,0,0.0,427.03,324.3538497793215,86.51199999999999
41,12408.0,32,9,1399,2842.57,315.8411111111111,81,2.0357142857142856,4,10,0,4,0.4444444444444444,568.5139999999999,343.34955414271326,47.543
42,12410.0,301,3,209,681.0799999999999,227.02666666666664,26,0.25925925925925924,4,10,0,1,0.3333333333333333,681.0799999999999,0.0,0.0
43,12412.0,74,3,829,1226.88,408.96000000000004,43,1.5833333333333333,0,13,0,0,0.0,408.96000000000004,93.57361380218249,-89.18
44,12413.0,66,5,282,694.15,138.82999999999998,29,6.948717948717949,3,16,0,2,0.4,231.38333333333335,168.43190265900736,-110.54999999999998
45,12414.0,217,3,300,562.41,187.47,16,5.470588235294118,2,14,0,0,0.0,187.47,48.29698437790916,6.045000000000002
46,12417.0,3,12,1539,3578.8,298.23333333333335,158,1.7969543147208122,3,14,0,3,0.25,397.64444444444445,243.95447434465672,0.0615000000000047
47,12418.0,112,1,407,668.58,668.58,34,0.0,4,11,0,0,0.0,668.58,0.0,0.0
48,12420.0,63,1,345,600.39,600.39,29,0.0,4,8,0,0,0.0,600.39,0.0,0.0
49,12421.0,15,4,484,807.04,201.76,32,6.909090909090909,6,13,0,0,0.0,201.76,40.076354624641205,5.55
50,12422.0,95,3,370,803.5600000000001,267.85333333333335,39,6.026315789473684,4,9,0,0,0.0,267.8533333333333,137.20547559530317,-45.400000000000006
51,12423.0,0,9,1327,1849.11,205.45666666666665,97,2.824,0,10,0,1,0.1111111111111111,205.45666666666668,112.59303097883101,-19.864500000000003
52,12424.0,162,2,740,1760.96,880.48,30,0.0,3,12,0,0,0.0,1760.96,0.0,0.0
53,12425.0,78,1,496,777.2,777.2,36,0.0,3,17,0,0,0.0,777.2,0.0,0.0
54,12426.0,194,1,258,582.73,582.73,30,0.0,6,12,0,0,0.0,582.73,0.0,0.0
55,12427.0,11,5,236,708.37,141.674,26,10.588235294117647,0,15,0,2,0.4,236.12333333333333,52.453078397109664,-33.655
56,12429.0,9,4,1557,3750.4,937.6,82,3.7083333333333335,0,12,0,0,0.0,937.6,367.0537294002973,-44.051999999999985
57,12430.0,43,1,117,256.4,256.4,11,0.0,3,15,0,0,0.0,256.4,0.0,0.0
58,12431.0,35,18,2846,6348.89,352.7161111111111,163,1.4261603375527425,3,14,0,3,0.16666666666666666,705.4322222222222,362.95868011310114,11.737166666666667
59,12434.0,84,4,373,765.19,191.2975,49,5.2075471698113205,4,12,0,2,0.5,191.2975,262.5452615423354,134.347
60,12436.0,99,1,211,509.01,509.01,16,0.0,3,12,0,0,0.0,509.01,0.0,0.0
61,12437.0,1,19,2917,4896.66,257.718947368421,118,1.6582914572864322,2,9,0,1,0.05263157894736842,489.666,395.4550715090429,37.7310303030303
62,12441.0,366,1,121,173.55,173.55,11,0.0,2,10,0,0,0.0,173.55,0.0,0.0
63,12442.0,3,1,182,172.06,172.06,12,0.0,1,14,0,0,0.0,172.06,0.0,0.0
64,12444.0,21,5,1153,5005.46,1001.092,138,0.8571428571428571,1,14,0,0,0.0,1001.092,506.5277346503349,-174.518
65,12445.0,22,1,62,133.4,133.4,4,0.0,3,18,0,0,0.0,133.4,0.0,0.0
66,12446.0,57,1,351,1002.3100000000001,1002.3100000000001,57,0.0,3,12,0,0,0.0,1002.3100000000001,0.0,0.0
67,12447.0,243,1,190,476.49,476.49,26,0.0,6,13,0,0,0.0,476.49,0.0,0.0
68,12448.0,44,1,243,449.45,449.45,22,0.0,2,13,0,0,0.0,449.45,0.0,0.0
69,12449.0,22,4,1553,4067.29,1016.8225,118,0.868421052631579,3,9,0,0,0.0,1016.8225,253.78231845093808,176.10899999999998
70,12450.0,156,2,128,197.88,98.94,7,2.4285714285714284,6,14,0,0,0.0,98.94,4.157787873376896,-5.8799999999999955
71,12452.0,16,3,183,428.57,142.85666666666665,21,0.0,2,8,0,1,0.3333333333333333,428.57,0.0,0.0
72,12453.0,134,1,473,707.09,707.09,43,0.0,3,14,0,0,0.0,707.09,0.0,0.0
