,Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,25,49,4,19.200000000000003,1,0,0,1,0,0,0
1,45,34,3,18.0,1,0,0,1,0,0,0
2,39,11,1,12.0,1,0,0,0,0,0,0
3,35,100,1,32.400000000000006,2,0,0,0,0,0,0
4,35,45,4,12.0,2,0,0,0,0,0,1
5,37,29,4,4.800000000000001,2,155,0,0,0,1,0
6,53,72,2,18.0,2,0,0,0,0,1,0
7,50,22,1,3.5999999999999996,3,0,0,0,0,0,1
8,35,81,3,7.199999999999999,2,104,0,0,0,1,0
9,34,180,1,106.80000000000001,3,0,1,0,0,0,0
10,65,105,4,28.799999999999997,3,0,0,0,0,0,0
11,29,45,3,1.2000000000000002,2,0,0,0,0,1,0
12,48,114,2,45.599999999999994,3,0,0,1,0,0,0
13,59,40,4,30.0,2,0,0,0,0,1,0
14,67,112,1,24.0,1,0,0,1,0,0,0
15,60,22,1,18.0,3,0,0,0,0,1,1
16,38,130,4,56.400000000000006,3,134,1,0,0,0,0
17,42,81,4,28.799999999999997,1,0,0,0,0,0,0
18,46,193,2,97.19999999999999,3,0,1,0,0,0,0
19,55,21,1,6.0,2,0,0,1,0,0,1
20,56,25,4,10.8,2,111,0,0,0,1,0
21,57,63,3,24.0,3,0,0,0,0,1,0
22,29,62,1,14.399999999999999,1,260,0,0,0,1,0
23,44,43,2,8.399999999999999,1,163,0,1,0,0,0
24,36,152,2,46.8,1,159,0,0,0,0,1
25,43,29,3,6.0,1,97,0,0,0,1,0
26,40,83,4,2.4000000000000004,3,0,0,0,0,0,0
27,46,158,1,28.799999999999997,1,0,0,0,0,1,1
28,56,48,1,26.400000000000002,3,0,0,0,0,1,1
29,38,119,1,39.599999999999994,2,0,1,0,1,1,1
30,59,35,1,14.399999999999999,3,122,0,0,0,1,0
31,40,29,1,24.0,2,0,0,0,0,1,0
32,53,41,2,7.199999999999999,3,193,0,0,0,0,0
33,30,18,3,10.8,3,0,0,0,0,0,0
34,31,50,4,21.6,3,0,0,0,0,1,0
35,48,81,3,8.399999999999999,1,0,0,0,0,0,0
36,59,121,1,34.8,1,0,0,0,0,0,1
37,51,71,1,16.799999999999997,3,198,0,0,0,0,0
38,42,141,3,60.0,3,0,1,1,1,1,0
39,38,80,4,8.399999999999999,3,285,0,0,0,1,0
40,57,84,3,19.200000000000003,3,0,0,1,0,0,0
41,34,60,3,27.599999999999998,1,0,0,0,0,0,0
42,39,45,1,8.399999999999999,1,0,0,0,0,1,0
43,46,104,1,68.4,1,0,0,0,0,1,1
44,57,52,4,30.0,1,0,0,0,0,0,1
45,39,43,3,8.399999999999999,2,153,0,0,0,1,0
46,37,194,4,2.4000000000000004,3,211,1,1,1,1,1
47,56,81,2,54.0,3,0,0,0,0,0,1
48,40,49,1,21.6,1,0,0,0,0,0,1
49,32,8,4,8.399999999999999,2,0,0,1,0,1,0
50,61,131,1,34.8,1,0,0,0,0,1,0
51,30,72,1,1.2000000000000002,1,207,0,0,0,0,0
52,50,190,3,25.200000000000003,3,240,1,0,0,1,0
53,29,44,1,2.4000000000000004,3,0,0,0,0,1,0
54,41,139,2,96.0,1,0,0,0,0,1,0
55,55,29,3,1.2000000000000002,2,0,0,1,1,1,0
56,56,131,2,14.399999999999999,3,0,1,0,0,0,0
57,28,93,2,2.4000000000000004,1,0,0,0,0,0,0
58,49,39,3,20.4,2,0,0,1,0,1,0
59,47,125,1,68.4,1,112,0,1,0,0,0
60,42,22,1,12.0,1,0,0,0,0,0,0
61,42,32,4,0.0,2,0,0,0,0,1,0
62,47,105,2,39.599999999999994,1,0,0,0,0,0,0
63,59,131,1,45.599999999999994,1,0,0,0,0,1,1
64,62,105,2,33.599999999999994,1,336,0,0,0,0,0
65,53,45,4,24.0,3,132,0,1,0,0,0
66,47,60,3,25.200000000000003,1,0,0,0,0,1,1
67,53,20,4,2.4000000000000004,1,0,0,0,0,1,0
68,42,115,1,42.0,1,0,0,0,0,0,1
69,53,69,4,12.0,2,0,0,0,0,1,0
70,44,130,1,60.0,1,0,0,0,0,0,1
71,41,85,1,48.0,3,0,0,0,0,1,1
72,28,135,2,39.599999999999994,1,0,0,0,0,0,1
73,31,135,4,45.599999999999994,2,0,1,0,1,1,1
74,58,12,3,3.5999999999999996,3,0,0,0,0,0,0
75,46,29,3,6.0,2,0,0,0,0,0,0
76,54,133,2,31.200000000000003,3,0,1,0,0,0,0
77,50,19,2,4.800000000000001,1,118,0,0,0,1,0
78,60,41,4,15.600000000000001,1,174,0,0,0,1,1
79,47,40,3,32.400000000000006,2,0,0,0,0,1,0
80,41,82,1,48.0,3,0,0,0,0,1,0
81,33,50,1,28.799999999999997,2,0,0,0,0,0,0
82,46,18,1,10.8,3,0,0,0,0,1,0
83,27,109,4,21.6,3,0,0,0,0,0,0
84,40,42,4,26.400000000000002,2,126,0,0,0,0,0
85,48,78,3,13.200000000000001,1,0,0,0,0,1,0
86,65,51,2,13.200000000000001,1,0,0,0,0,1,0
87,25,113,4,27.599999999999998,3,0,0,0,0,0,1
88,55,118,4,67.19999999999999,2,0,1,0,0,1,0
89,35,29,4,13.200000000000001,3,0,0,0,0,1,0
90,43,34,3,7.199999999999999,2,0,0,0,0,0,0
91,60,64,2,20.4,3,236,0,1,0,1,0
92,65,121,1,24.0,1,0,0,0,0,0,0
93,38,48,4,2.4000000000000004,3,0,0,0,0,1,0
94,41,80,1,62.400000000000006,1,0,0,0,0,0,0
95,54,161,1,34.8,1,0,0,0,0,1,0
96,49,94,1,3.5999999999999996,1,0,0,0,0,1,0
97,66,15,3,1.2000000000000002,3,0,0,0,0,1,0
98,48,74,1,14.399999999999999,1,0,0,0,0,1,0
99,61,30,3,15.600000000000001,2,0,0,0,0,0,0
100,53,44,3,12.0,3,198,0,0,0,1,1
101,43,22,2,3.5999999999999996,2,0,0,0,0,1,0
102,56,38,4,15.600000000000001,1,166,0,0,0,1,1
103,24,35,3,1.2000000000000002,2,0,0,1,0,1,0
104,43,69,4,34.8,1,0,0,0,0,1,1
105,42,43,1,8.399999999999999,1,136,0,0,0,0,0
106,33,32,1,7.199999999999999,3,166,0,0,0,1,0
107,43,49,1,33.599999999999994,1,0,0,0,0,1,0
108,41,9,3,12.0,2,0,0,0,0,0,0
109,62,45,4,15.600000000000001,2,0,0,0,0,1,0
110,40,82,3,12.0,1,309,0,0,0,0,0
111,58,92,2,33.599999999999994,1,103,0,0,0,0,0
112,39,39,3,6.0,3,0,0,0,0,1,0
113,65,81,3,21.6,2,0,0,0,0,1,0
114,54,35,1,18.0,2,0,0,0,0,1,0
115,58,61,2,27.599999999999998,3,193,0,0,0,1,0
116,41,73,3,36.0,1,0,0,0,0,1,0
117,54,12,2,2.4000000000000004,3,0,0,0,0,1,0
118,52,38,3,10.8,3,0,0,0,0,1,0
119,58,73,2,8.399999999999999,2,0,0,0,0,1,1
120,37,84,1,43.2,2,0,0,1,0,0,0
121,39,78,4,28.799999999999997,1,118,0,0,0,1,0
122,60,80,3,6.0,1,0,0,0,0,1,0
123,31,115,2,15.600000000000001,1,101,0,0,0,1,1
124,34,82,1,32.400000000000006,2,251,0,0,0,1,0
125,38,74,2,0.0,1,0,0,1,0,1,0
126,41,70,3,6.0,3,0,0,0,0,0,1
127,28,81,3,18.0,1,276,0,0,0,1,0
128,58,149,4,86.4,2,0,1,0,1,1,1
129,31,51,2,21.0,3,0,0,0,0,0,0
130,30,39,3,13.200000000000001,2,0,0,0,0,1,0
131,53,98,3,21.6,2,0,0,0,0,0,0
132,58,45,4,25.200000000000003,1,0,0,0,0,1,1
133,59,49,4,30.0,2,0,0,0,0,1,0
134,49,128,2,4.800000000000001,1,0,0,0,0,0,0
135,59,42,3,18.0,1,0,0,1,1,0,1
136,59,18,1,14.399999999999999,3,0,0,0,0,1,0
137,51,31,2,4.800000000000001,3,161,0,0,0,1,1
138,35,58,3,24.0,1,149,0,0,0,1,1
139,33,48,1,25.200000000000003,3,0,0,0,0,0,1
140,25,54,4,19.200000000000003,1,0,0,0,0,1,1
141,49,70,2,18.0,2,0,0,0,0,0,0
142,59,124,1,88.80000000000001,1,0,0,0,0,0,1
143,46,84,1,32.04,2,0,0,0,0,1,1
144,50,83,4,43.2,3,188,0,0,0,1,0
145,52,163,2,4.800000000000001,1,116,0,0,0,1,0
146,48,42,3,26.400000000000002,2,0,0,0,0,0,0
147,46,118,2,90.0,1,0,0,0,1,1,1
148,26,132,3,78.0,3,0,1,0,0,0,1
149,57,24,1,15.600000000000001,1,0,0,0,0,1,1
150,60,22,2,12.0,1,0,0,1,1,1,1
151,54,58,4,15.600000000000001,3,0,0,0,0,0,0
152,24,60,4,19.200000000000003,1,0,0,0,0,1,0
153,26,15,4,4.800000000000001,1,0,0,0,0,0,1
154,41,83,4,32.04,1,0,0,0,0,1,1
155,32,79,2,18.0,3,0,0,0,0,1,1
156,61,41,4,20.4,2,0,0,1,0,1,0
157,29,134,4,78.0,3,0,1,0,0,0,0
158,61,80,2,33.599999999999994,1,0,0,0,0,1,0
159,38,52,1,24.0,1,0,0,0,0,0,0
160,28,70,4,31.200000000000003,1,0,0,0,0,1,0
161,53,92,2,13.200000000000001,1,0,0,1,0,0,0
162,27,43,1,18.0,1,0,0,0,0,1,0
163,25,21,3,12.0,2,0,0,0,0,0,0
164,33,23,3,10.8,3,0,0,0,0,1,1
165,50,13,4,12.0,1,0,0,0,0,1,0
166,27,112,4,25.200000000000003,3,0,0,0,0,0,1
167,27,138,2,24.0,1,0,0,0,0,1,0
168,52,11,3,4.800000000000001,1,0,0,1,0,0,0
169,38,171,2,93.6,1,0,0,0,0,1,0
170,58,42,4,18.0,1,0,0,0,0,1,1
171,42,168,2,94.80000000000001,2,0,1,0,0,1,0
172,45,85,4,13.200000000000001,2,0,0,1,0,1,0
173,52,44,3,12.0,2,135,0,0,0,1,0
174,29,65,4,21.6,2,244,0,0,0,0,0
175,53,24,4,2.4000000000000004,1,0,0,0,0,1,1
176,62,11,1,1.2000000000000002,1,0,0,0,0,1,0
177,51,38,2,12.0,3,164,0,0,0,1,0
178,36,10,4,8.399999999999999,2,81,0,0,0,0,0
179,24,135,1,18.0,1,0,0,0,0,1,0
180,29,148,3,49.199999999999996,1,0,1,0,0,1,0
181,52,63,2,18.0,2,0,0,1,0,1,0
182,39,115,1,12.0,3,0,0,0,0,1,0
183,48,45,1,3.5999999999999996,1,0,0,0,0,1,1
184,46,159,3,22.799999999999997,3,315,1,0,0,1,0
185,64,169,2,25.200000000000003,1,122,0,0,0,1,0
186,55,112,2,16.799999999999997,1,0,0,0,0,1,0
187,60,93,1,51.599999999999994,1,0,0,0,0,1,0
188,51,29,1,3.5999999999999996,3,140,0,0,0,0,0
189,50,85,1,32.04,2,0,0,0,0,1,0
190,48,21,4,7.199999999999999,1,0,0,0,0,1,1
191,53,144,2,81.6,1,0,0,0,0,1,0
192,34,13,4,12.0,1,95,0,1,0,1,0
193,48,165,1,60.0,1,0,0,0,0,0,1
194,55,9,4,8.399999999999999,1,89,0,0,0,1,0
195,27,59,4,0.0,1,90,0,1,0,1,0
196,36,158,1,61.199999999999996,3,0,1,0,1,1,1
197,32,29,1,22.799999999999997,3,0,0,0,0,1,1
198,35,20,2,16.799999999999997,3,0,0,0,0,1,1
199,30,68,4,24.0,2,0,0,0,0,1,0
200,58,65,4,26.400000000000002,1,0,0,0,0,1,0
201,56,61,2,22.799999999999997,2,105,0,0,0,0,0
202,38,91,4,16.799999999999997,2,100,0,0,0,0,1
203,49,31,1,12.0,1,0,0,1,0,1,0
204,34,71,4,1.2000000000000002,2,0,0,0,0,0,0
205,40,73,4,32.04,1,0,0,0,0,1,1
206,64,172,4,37.2,1,282,1,0,1,1,1
207,51,20,2,0.0,1,0,0,0,0,0,0
208,44,55,1,2.4000000000000004,1,0,0,0,0,0,0
209,46,69,2,20.4,1,209,0,0,0,0,0
